"","Unique.Key","Created.Date","Closed.Date","Agency","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","Created.Date2","Day","Month","Year"
"113",29669762,"01/08/2015 10:45:22 PM","01/08/2015 10:46:00 PM","HRA","Benefit Card Replacement","Medicaid","","Unspecified",NA,NA,2015-01-08 22:45:22,"08","01","2015"
"114",29670824,"01/08/2015 10:44:00 PM","01/09/2015 01:05:00 AM","DOT","Traffic Signal Condition","Controller","","MANHATTAN",NA,NA,2015-01-08 22:44:00,"08","01","2015"
"115",29672899,"01/08/2015 10:43:51 PM","01/24/2015 01:06:53 AM","DCA","Consumer Complaint","Closed without Notice","10471","BRONX",40.9065904083809,-73.9041825686511,2015-01-08 22:43:51,"08","01","2015"
"116",29662905,"01/08/2015 10:43:16 PM","01/08/2015 11:07:58 PM","NYPD","Noise - Commercial","Loud Music/Party","11249","BROOKLYN",40.7222435597928,-73.9588943694367,2015-01-08 22:43:16,"08","01","2015"
"117",29663210,"01/08/2015 10:43:00 PM","01/09/2015 04:30:00 AM","DEP","Water System","NO WATER - WNW","10467","BRONX",40.8829552977468,-73.8582271295189,2015-01-08 22:43:00,"08","01","2015"
"118",29662894,"01/08/2015 10:43:00 PM","01/09/2015 01:05:00 AM","DOT","Traffic Signal Condition","Controller","10002","MANHATTAN",40.7226976534799,-73.9878637634924,2015-01-08 22:43:00,"08","01","2015"
"119",29662848,"01/08/2015 10:41:19 PM","01/08/2015 10:55:15 PM","NYPD","Illegal Parking","Commercial Overnight Parking","11231","BROOKLYN",40.6811369622651,-74.0045572659082,2015-01-08 22:41:19,"08","01","2015"
"120",29663003,"01/08/2015 10:41:17 PM","01/09/2015 06:57:55 AM","DOF","DOF Literature Request","SCRIE - Application for Seniors Not Enrolled - Spanish","","Unspecified",NA,NA,2015-01-08 22:41:17,"08","01","2015"
"121",29667955,"01/08/2015 10:41:00 PM","01/09/2015 12:00:00 PM","DSNY","Dirty Conditions","E3 Dirty Sidewalk","10035","MANHATTAN",40.8057295626066,-73.9385423529129,2015-01-08 22:41:00,"08","01","2015"
"122",29664862,"01/08/2015 10:40:21 PM","","DOHMH","Smoking","Smoking Violation","10002","MANHATTAN",40.7189953029435,-73.991544067162,2015-01-08 22:40:21,"08","01","2015"
